OBJECTID,LAD21CD,LAD21NM,BNG_E,BNG_N,LONG,LAT,SHAPE_Length,SHAPE_Area,Students
38,E06000040,Windsor and Maidenhead,492079,176541,-0.67540997,51.480339,114829.0717,198427168.8,1125
39,E06000041,Wokingham,476624,169902,-0.89934999,51.422958,86865.5899,178965482.7,1220
40,E06000042,Milton Keynes,486408,242308,-0.74070001,52.072411,102960.2898,308626791.3,1695
41,E06000043,Brighton and Hove,530279,106850,-0.15079001,50.8465,59519.38441,82832959.11,1580
42,E06000044,Portsmouth,465619,101352,-1.07006,50.807999,62643.78949,40389409.31,1190
43,E06000045,Southampton,442303,113700,-1.39952,50.9212,61543.99716,49880646.99,1185
44,E06000046,Isle of Wight,447183,85949,-1.33366,50.671291,210138.3764,379620110.6,835
45,E06000047,County Durham,410381,532242,-1.8405,54.685131,315062.7806,2231457247,3130
46,E06000049,Cheshire East,380510,363462,-2.29299,53.167931,301224.7497,1166357381,2785
47,E06000050,Cheshire West and Chester,353097,363145,-2.70298,53.163361,335614.8118,920018000.2,2470
48,E06000051,Shropshire,350227,302960,-2.73667,52.62212,580649.3577,3197275382,1870
49,E06000052,Cornwall,212497,64493,-4.64254,50.450218,1241734.321,3548939237,3735
50,E06000053,Isles of Scilly,91327,11447,-6.3021698,49.923321,117979.339,16317753.95,15
51,E06000054,Wiltshire,405209,158863,-1.92661,51.328831,402006.2868,3255338120,3280
52,E06000055,Bedford,505721,256463,-0.45462999,52.196281,131721.0835,476408301.3,1335
53,E06000056,Central Bedfordshire,504615,234492,-0.47753999,51.999031,232692.3168,715665302.2,1820
54,E06000057,Northumberland,395322,600699,-2.0752299,55.300369,605421.9935,5032268631,2245
55,E06000058,"Bournemouth, Christchurch and Poole",410815,94066,-1.84807,50.74609,169171.6298,162070068.5,#N/A
56,E06000059,Dorset,370871,99796,-2.41467,50.79697,594357.6567,2490956587,#N/A
57,E06000060,Buckinghamshire,482506,208561,-0.80568999,51.769661,361852.6407,1564949150,#N/A
58,E06000061,North Northamptonshire,493590,281718,-0.62503999,52.425461,210629.4862,986594568.1,#N/A
59,E06000062,West Northamptonshire,467187,263879,-1.01682,52.268978,263792.054,1380395593,#N/A
60,E07000008,Cambridge,545420,257901,0.126436,52.200169,37170.35821,40698797.94,700
61,E07000009,East Cambridgeshire,555576,275765,0.283149,52.35788,234187.5969,651286027.3,580
62,E07000010,Fenland,536361,294959,0.009016,52.535439,187881.713,546450060.7,450
63,E07000011,Huntingdonshire,521008,274269,-0.2247,52.353149,223337.6722,912455234.2,1100
64,E07000012,South Cambridgeshire,543295,247586,0.091017,52.108051,257078.0475,901624805.7,1060
65,E07000026,Allerdale,317520,532997,-3.2809,54.685242,326488.8236,1258309835,640
66,E07000027,Barrow-in-Furness,321741,474165,-3.1998999,54.15731,146480.6665,77896997.26,445
67,E07000028,Carlisle,348576,565154,-2.80498,54.978329,278392.3193,1038297607,565
68,E07000029,Copeland,310871,508739,-3.3766401,54.466171,252311.3256,737632448.4,380
69,E07000030,Eden,359636,526396,-2.62678,54.631069,268743.6568,2156471321,370
70,E07000031,South Lakeland,349265,489555,-2.78108,54.29908,381795.0021,1554926442,870
71,E07000032,Amber Valley,436166,348084,-1.46219,53.028839,109036.1618,265437866.8,775
72,E07000033,Bolsover,448666,371548,-1.27228,53.23875,96239.00598,160334647,430
73,E07000034,Chesterfield,440049,373359,-1.40115,53.255749,52617.64619,66035293.27,745
74,E07000035,Derbyshire Dales,419697,358493,-1.70711,53.12326,245475.1462,795318060.8,470
75,E07000036,Erewash,443721,338063,-1.3509001,52.938202,73547.40742,109630045.6,640
76,E07000037,High Peak,410474,387660,-1.84398,53.385689,159632.6538,540254002.9,605
77,E07000038,North East Derbyshire,437369,362955,-1.44253,53.16243,161243.4186,275623525.4,525
78,E07000039,South Derbyshire,431443,325363,-1.5348001,52.824902,166692.9715,338126971.2,485
79,E07000040,East Devon,313790,96050,-3.2235899,50.757599,219476.409,814245109.4,825
80,E07000041,Exeter,293239,92005,-3.51368,50.717819,50238.17225,47033024.84,605
81,E07000042,Mid Devon,288064,108911,-3.5921199,50.86882,246269.4267,912900111.7,520
82,E07000043,North Devon,265110,132532,-3.9269099,51.07621,321532.6935,1085882521,675
83,E07000044,South Hams,270676,54036,-3.8199601,50.371948,478794.0848,886546850.8,655
84,E07000045,Teignbridge,283144,80205,-3.65289,50.60981,191473.556,673759657.2,765
85,E07000046,Torridge,244206,114334,-4.2172799,50.907391,316930.3708,985258200.6,320
86,E07000047,West Devon,256376,86990,-4.0336099,50.66481,254096.6665,1161110805,315
87,E07000061,Eastbourne,559339,99575,0.25851601,50.773869,38032.2758,44161432.41,560
88,E07000062,Hastings,581528,110694,0.57839501,50.867241,34102.06325,29796092.25,405
89,E07000063,Lewes,541474,105686,0.007671,50.833408,168359.7438,292106799.1,740
90,E07000064,Rother,578721,119666,0.54293698,50.948711,180531.8597,511753822.4,675
91,E07000065,Wealden,555048,117180,0.205156,50.93322,225877.8354,834948412.1,875
92,E07000066,Basildon,571548,190848,0.47505501,51.590359,85630.47584,110001023,1075
93,E07000067,Braintree,577253,227335,0.57591099,51.91634,168686.28,611707972.3,800
94,E07000068,Brentwood,558560,196070,0.29009101,51.641079,72339.36486,153124049.5,900
95,E07000069,Castle Point,579490,187920,0.58808398,51.561588,163436.8668,44673516.74,770
96,E07000070,Chelmsford,572116,206972,0.49117699,51.735031,126395.3088,342227523.1,1425
97,E07000071,Colchester,596944,223693,0.85977697,51.877022,318167.6549,332325215.8,1250
98,E07000072,Epping Forest,548919,203758,0.154147,51.712791,123273.0574,338984123.6,665
99,E07000073,Harlow,545276,209589,0.103888,51.76614,28515.35072,30537917.18,545
100,E07000074,Maldon,591413,212072,0.77310598,51.774578,469757.1017,357815639.6,250
101,E07000075,Rochford,585979,191417,0.683442,51.5909,234542.6035,167092822.6,675
102,E07000076,Tendring,614190,222141,1.108981,51.856739,442534.7836,336324345.7,855
103,E07000077,Uttlesford,557832,228865,0.294485,51.935921,166507.7334,641182922.3,530
104,E07000078,Cheltenham,394925,222232,-2.07515,51.898609,38230.95163,46596069.56,675
105,E07000079,Cotswold,402125,208209,-1.97059,51.772549,332444.3906,1164524408,660
106,E07000080,Forest of Dean,367175,212759,-2.47755,51.812489,190129.0843,525902190.8,530
107,E07000081,Gloucester,384071,216449,-2.23263,51.846409,33539.63893,40553089.07,920
108,E07000082,Stroud,378807,202410,-2.3081801,51.720009,172781.8422,460541978.1,865
109,E07000083,Tewkesbury,386347,226279,-2.19998,51.934849,204835.337,414414320.2,705
110,E07000084,Basingstoke and Deane,454508,151423,-1.22021,51.259369,143437.0801,633817174.9,1210
111,E07000085,East Hampshire,474404,129237,-0.93971002,51.057652,144540.4564,514432073.3,925
112,E07000086,Eastleigh,447202,116802,-1.32943,50.948719,75889.81837,79678661.76,1050
113,E07000087,Fareham,453774,106319,-1.23742,50.853882,66342.58648,74256780.9,865
114,E07000088,Gosport,458769,101088,-1.16731,50.806358,40198.87836,25373864.37,455
115,E07000089,Hart,477985,154240,-0.88321,51.281971,77847.65097,215265080.7,855
116,E07000090,Havant,470178,108564,-1.00398,50.872311,115625.9519,55739559.55,730
117,E07000091,New Forest,428748,106521,-1.59293,50.857479,332043.0029,752175262.6,1210
118,E07000092,Rushmoor,486022,153944,-0.76806998,51.278149,31892.98609,39045040,505
119,E07000093,Test Valley,434930,137329,-1.50214,51.134171,190816.0117,627595194.1,815
120,E07000094,Winchester,453115,125901,-1.24393,51.030022,172157.9285,660970091.2,905
121,E07000095,Broxbourne,534742,204251,-0.050730001,51.720798,39068.73478,51442302.89,775
122,E07000096,Dacorum,500084,208745,-0.55097997,51.768452,110103.6036,212476395.6,1095
