OBJECTID,LAD21CD,LAD21NM,BNG_E,BNG_N,LONG,LAT,SHAPE_Length,SHAPE_Area,Students
193,E07000189,South Somerset,345633,120798,-2.7758801,50.98399,241316.7359,959040235.6,975
194,E07000192,Cannock Chase,401261,311553,-1.98277,52.70166,50127.56768,78882571.19,695
195,E07000193,East Staffordshire,412601,326569,-1.81438,52.83651,183696.0802,389987162.3,955
196,E07000194,Lichfield,416283,310967,-1.7604899,52.696152,127468.1237,331294331.3,670
197,E07000195,Newcastle-under-Lyme,378199,345174,-2.3263099,53.003448,108258.8779,210957320.6,775
198,E07000196,South Staffordshire,389625,311037,-2.1549499,52.696918,184894.035,407322253.1,725
199,E07000197,Stafford,389001,327836,-2.1647501,52.847919,159078.504,598172232.7,845
200,E07000198,Staffordshire Moorlands,400543,352443,-1.99334,53.069241,152448.0057,575849820.4,725
201,E07000199,Tamworth,421455,302550,-1.68451,52.620312,30729.91457,30850718.77,220
202,E07000200,Babergh,599987,244692,0.91614902,52.064499,210447.7791,595116562.5,600
203,E07000202,Ipswich,617161,244456,1.166145,52.05592,45342.29176,39509795.45,960
204,E07000203,Mid Suffolk,611646,262338,1.096953,52.21859,191154.5789,871070646,840
205,E07000207,Elmbridge,511882,163658,-0.39441001,51.360981,52205.99928,96334274.7,650
206,E07000208,Epsom and Ewell,521176,161475,-0.26172,51.339451,28503.66763,34079152.84,855
207,E07000209,Guildford,500408,151481,-0.56256998,51.253658,128414.0989,270931187.4,995
208,E07000210,Mole Valley,518377,148953,-0.30603001,51.227489,105402.6878,258320952.5,575
209,E07000211,Reigate and Banstead,525786,152574,-0.19870999,51.258461,79923.50798,129143924.3,950
210,E07000212,Runnymede,501777,166979,-0.53855002,51.392731,45677.28986,78040686.69,610
211,E07000213,Spelthorne,507012,169622,-0.46254,51.41552,44134.44918,51161362.67,700
212,E07000214,Surrey Heath,491362,160483,-0.68985999,51.336102,53559.6225,95092959.25,610
213,E07000215,Tandridge,536365,150325,-0.048050001,51.235809,83136.78247,248194569.8,525
214,E07000216,Waverley,496363,140635,-0.62343001,51.15686,125435.7627,345170238,960
215,E07000217,Woking,499087,157542,-0.57981998,51.308369,54781.32721,63603603.46,650
216,E07000218,North Warwickshire,425570,296399,-1.6242,52.564838,113230.4232,284261502.7,425
217,E07000219,Nuneaton and Bedworth,435419,289352,-1.47965,52.500938,48148.58496,78950291.64,835
218,E07000220,Rugby,446498,276244,-1.31828,52.382278,115093.4196,353557288.5,795
219,E07000221,Stratford-on-Avon,425019,251536,-1.63565,52.161541,261383.6736,977869055.6,1015
220,E07000222,Warwick,428484,267113,-1.58369,52.301418,116717.1272,282882319.7,840
221,E07000223,Adur,518076,106472,-0.32416999,50.845718,60515.63235,42065494.46,270
222,E07000224,Arun,495144,105723,-0.64999002,50.843208,156497.7603,220991201.2,745
223,E07000225,Chichester,490285,116600,-0.71630001,50.941769,297274.8104,786194857.4,720
224,E07000226,Crawley,526390,137581,-0.19532999,51.123569,38799.41493,44971203.15,795
225,E07000227,Horsham,513674,123840,-0.38126001,51.00272,215759.5137,530278365.1,1045
226,E07000228,Mid Sussex,533054,130623,-0.10272,51.059528,132912.1765,334029226.7,1200
227,E07000229,Worthing,512679,104948,-0.40127,50.833099,29462.09519,32521008.05,810
228,E07000234,Bromsgrove,399840,273736,-2.0037601,52.361691,113135.306,216968481,835
229,E07000235,Malvern Hills,377465,252197,-2.3308899,52.16758,230605.3553,577070979.6,495
230,E07000236,Redditch,403705,265253,-1.9471,52.285412,41301.75601,54250911.92,495
231,E07000237,Worcester,385725,255196,-2.2102499,52.19482,31263.06628,33278125.02,480
232,E07000238,Wychavon,398991,247839,-2.01614,52.12886,219519.7013,663541973.5,640
233,E07000239,Wyre Forest,384106,276388,-2.2349401,52.3853,100867.0754,195403721,415
234,E07000240,St Albans,514580,209623,-0.3407,51.77356,72946.28481,161205874.2,1585
235,E07000241,Welwyn Hatfield,525345,208467,-0.18517999,51.760872,82391.983,129536896.5,590
236,E07000242,East Hertfordshire,537995,220370,0.002739,51.864849,135188.1784,475669102.4,1495
237,E07000243,Stevenage,524622,224531,-0.18987,51.905392,28588.26136,25969241.28,675
238,E07000244,East Suffolk,636043,266272,1.4561861,52.243992,584790.2875,1260989579,#N/A
239,E07000245,West Suffolk,580944,271124,0.65276903,52.308418,274547.4556,1034675783,#N/A
240,E07000246,Somerset West and Taunton,304960,130228,-3.3576601,51.06348,288679.0239,1189084426,#N/A
241,E08000001,Bolton,368352,409873,-2.4795201,53.584492,82647.15773,139792042.6,2015
242,E08000002,Bury,379658,410768,-2.3088,53.593102,68541.68841,99460126.88,1565
243,E08000003,Manchester,384591,397063,-2.2335899,53.470089,86856.39966,115648368,2800
244,E08000004,Oldham,396603,406784,-2.0527401,53.557678,71165.72046,142344917.4,2150
245,E08000005,Rochdale,390315,412326,-2.14784,53.60741,82713.14456,158128175.4,1630
246,E08000006,Salford,374556,398128,-2.38485,53.479271,63268.74159,97197278.5,1345
247,E08000007,Stockport,391806,388264,-2.12467,53.391159,73638.55578,126040311.3,2025
248,E08000008,Tameside,394987,397995,-2.0769999,53.478668,55988.97622,103154293,1650
249,E08000009,Trafford,375790,391162,-2.36572,53.41671,60718.08721,106044612.4,2150
250,E08000010,Wigan,362136,402126,-2.5724699,53.51445,88690.38581,188171012.5,2165
251,E08000011,Knowsley,344762,393778,-2.8329699,53.437881,68167.36916,86500060.76,660
252,E08000012,Liverpool,339361,390553,-2.91364,53.408298,62699.74878,111835572.4,3135
253,E08000013,St. Helens,353412,395992,-2.7031,53.458618,76386.88959,136358793.5,1220
254,E08000014,Sefton,334282,398832,-2.99177,53.482101,130345.7528,156578243.9,2270
255,E08000015,Wirral,329110,386965,-3.0670099,53.374779,133924.4085,160922014,2555
256,E08000016,Barnsley,429979,403327,-1.54925,53.525768,126421.1412,329077594.5,1280
257,E08000017,Doncaster,459167,403735,-1.10894,53.52697,171114.4885,568006405.3,1915
258,E08000018,Rotherham,447542,388980,-1.28651,53.395531,106151.9038,286534366.9,1845
259,E08000019,Sheffield,430511,389736,-1.54254,53.40358,132837.0662,367930013.5,3055
260,E08000021,Newcastle upon Tyne,422287,569661,-1.65297,55.021,65224.1225,113446877.6,1325
261,E08000022,North Tyneside,431471,570602,-1.50923,55.028961,65347.67189,82311584.93,1365
262,E08000023,South Tyneside,435514,564057,-1.44679,54.969879,51335.26678,64420348.64,920
263,E08000024,Sunderland,436470,551524,-1.43344,54.857189,99824.62526,137436258.1,1800
264,E08000025,Birmingham,408150,287352,-1.88141,52.484039,106260.6195,267791058.8,7340
265,E08000026,Coventry,432807,279689,-1.51908,52.41423,54057.19106,98639060.66,2135
266,E08000027,Dudley,393191,288584,-2.1017101,52.495129,75382.28028,97958243.34,2265
